Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2021-01-01_2023-01-01,FEIM,5.528,18.5898,0.2216,0.1833,-15.2215
2022-01-01_2024-01-01,FEIM,14.7494,17.7783,0.6956,0.5174,-11.9732
Average,FEIM,2.7546,17.3593,0.0616,0.053,-21.0787
2004-01-01_2006-01-01,CPSH,9.9106,43.7982,0.3518,0.2887,-40.5114
2005-01-01_2007-01-01,CPSH,-2.5767,51.3896,0.1356,0.0954,-40.5931
2006-01-01_2008-01-01,CPSH,2.0311,51.0995,0.222,0.1544,-36.2027
2007-01-01_2009-01-01,CPSH,0.6661,49.414,0.1938,0.126,-49.6469
2008-01-01_2010-01-01,CPSH,11.8099,60.3235,0.4135,0.3366,-37.2994
2009-01-01_2011-01-01,CPSH,33.561,51.9194,0.7343,0.7044,-32.2998
2010-01-01_2012-01-01,CPSH,46.5944,43.4482,1.0161,0.8952,-32.3003
2011-01-01_2013-01-01,CPSH,21.6111,47.6738,0.574,0.4441,-38.2522
2012-01-01_2014-01-01,CPSH,2.4135,50.9954,0.2237,0.1784,-56.1537
2013-01-01_2015-01-01,CPSH,13.3726,42.7417,0.4195,0.3525,-29.7675
2014-01-01_2016-01-01,CPSH,2.3248,28.6721,0.1188,0.0807,-28.2776
2015-01-01_2017-01-01,CPSH,4.854,33.544,0.2176,0.1648,-42.0487
2016-01-01_2018-01-01,CPSH,-5.809,35.6837,-0.0799,-0.0743,-54.4632
2017-01-01_2019-01-01,CPSH,-5.6555,35.127,-0.0827,-0.0803,-45.9317
2018-01-01_2020-01-01,CPSH,-9.5471,29.9987,-0.2835,-0.2004,-35.6743
2019-01-01_2021-01-01,CPSH,12.7233,61.0061,0.4098,0.399,-59.4292
2020-01-01_2022-01-01,CPSH,37.6315,100.1251,0.6282,1.0399,-59.4288
2021-01-01_2023-01-01,CPSH,38.8835,85.6128,0.615,1.3668,-49.4102
2022-01-01_2024-01-01,CPSH,23.2534,28.5511,0.7617,0.845,-14.0931
Average,CPSH,12.5291,49.0065,0.3468,0.3746,-41.1465
2004-01-01_2006-01-01,REFR,7.2913,35.9943,0.2681,0.2839,-28.8959
2005-01-01_2007-01-01,REFR,38.8821,35.2305,0.9987,1.1456,-19.8153
2006-01-01_2008-01-01,REFR,45.372,30.668,1.2669,1.2508,-26.1838
2007-01-01_2009-01-01,REFR,18.9755,35.5794,0.5736,0.4946,-40.5655
2008-01-01_2010-01-01,REFR,3.0515,30.1271,0.15,0.1186,-38.1335
2009-01-01_2011-01-01,REFR,-4.9047,24.7683,-0.2,-0.162,-51.5833
2010-01-01_2012-01-01,REFR,1.6426,22.8987,0.0544,0.0433,-41.9668
2011-01-01_2013-01-01,REFR,3.8932,20.8006,0.1441,0.1115,-18.1935
2012-01-01_2014-01-01,REFR,2.7116,21.8556,0.093,0.0806,-18.4397
2013-01-01_2015-01-01,REFR,-6.6365,20.7268,-0.3741,-0.3624,-25.8871
2014-01-01_2016-01-01,REFR,-13.1189,21.9809,-0.6709,-0.6207,-34.0044
2015-01-01_2017-01-01,REFR,-15.0325,23.5587,-0.7045,-0.5682,-49.8845
2016-01-01_2018-01-01,REFR,-30.2459,20.0332,-1.8432,-1.2393,-68.9147
2017-01-01_2019-01-01,REFR,-16.1429,25.8002,-0.6692,-0.5352,-59.6097
2018-01-01_2020-01-01,REFR,15.1693,37.1049,0.4829,0.3818,-28.302
2019-01-01_2021-01-01,REFR,-1.5657,37.8177,0.0672,0.0499,-56.0594
2020-01-01_2022-01-01,REFR,-24.2139,29.6635,-0.8848,-0.6357,-59.3963
2021-01-01_2023-01-01,REFR,-10.4226,26.2127,-0.4032,-0.3185,-49.2913
2022-01-01_2024-01-01,REFR,11.0327,23.757,0.4317,0.3849,-24.1951
Average,REFR,1.3546,27.6094,-0.0642,-0.0051,-38.9117
2004-01-01_2006-01-01,NTWK,-4.5516,29.7747,-0.114,-0.0992,-46.5971
2005-01-01_2007-01-01,NTWK,6.6375,19.2835,0.2751,0.2271,-15.5073
2006-01-01_2008-01-01,NTWK,19.7212,22.6746,0.7757,0.5612,-24.0831
2007-01-01_2009-01-01,NTWK,21.5745,25.9106,0.7686,0.524,-19.716
2008-01-01_2010-01-01,NTWK,3.6498,31.9583,0.1719,0.1468,-46.2317
2009-01-01_2011-01-01,NTWK,-14.4606,31.5594,-0.4376,-0.3761,-52.1454
2010-01-01_2012-01-01,NTWK,1.9707,24.6217,0.0813,0.0582,-35.6401
2011-01-01_2013-01-01,NTWK,-4.6992,28.4035,-0.1287,-0.078,-47.7031
2012-01-01_2014-01-01,NTWK,5.3575,26.8022,0.2214,0.127,-47.7046
2013-01-01_2015-01-01,NTWK,-5.0721,21.2669,-0.2778,-0.195,-44.3352
