Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2011-01-01_2013-01-01,CPSH,13.9817,28.6255,0.4797,0.2464,-16.8285
2012-01-01_2014-01-01,CPSH,16.7203,48.3896,0.4886,0.1979,-49.3087
2013-01-01_2015-01-01,CPSH,12.6353,36.9976,0.4064,0.1983,-17.8878
2014-01-01_2016-01-01,CPSH,0.0,0.0,0.0,0.0,-0.0
2015-01-01_2017-01-01,CPSH,2.3893,3.92,-0.1336,-0.0501,-3.1824
2016-01-01_2018-01-01,CPSH,-5.7188,11.1724,-0.7344,-0.1564,-22.7913
2017-01-01_2019-01-01,CPSH,-10.3102,25.1811,-0.4317,-0.3224,-45.5938
2018-01-01_2020-01-01,CPSH,-2.8651,19.4221,-0.2061,-0.1347,-22.4468
2019-01-01_2021-01-01,CPSH,-3.7663,48.4526,0.084,0.0776,-46.0838
2020-01-01_2022-01-01,CPSH,-4.163,18.2972,-0.3023,-0.1168,-31.3033
2021-01-01_2023-01-01,CPSH,27.6367,26.5161,0.9303,0.5884,-20.7414
2022-01-01_2024-01-01,CPSH,3.2133,6.4098,0.0633,0.007,-5.8058
Average,CPSH,12.5509,27.5684,0.0502,0.1623,-21.4599
2004-01-01_2006-01-01,REFR,8.1916,42.3477,0.3091,0.3737,-48.8988
2005-01-01_2007-01-01,REFR,17.2693,52.4021,0.493,0.727,-51.8499
2006-01-01_2008-01-01,REFR,15.3946,18.639,0.7006,0.3418,-17.3797
2007-01-01_2009-01-01,REFR,1.6239,34.5109,0.1274,0.1185,-34.6312
2008-01-01_2010-01-01,REFR,18.8437,38.9115,0.5552,0.495,-41.3006
2009-01-01_2011-01-01,REFR,-7.5186,21.4907,-0.3926,-0.1774,-40.1861
2010-01-01_2012-01-01,REFR,20.1683,24.5464,0.7468,0.6504,-31.5997
2011-01-01_2013-01-01,REFR,-11.4847,17.1411,-0.7986,-0.524,-32.9458
2012-01-01_2014-01-01,REFR,3.7117,17.4841,0.1264,0.0766,-24.033
2013-01-01_2015-01-01,REFR,5.8457,9.6451,0.3291,0.1924,-9.1151
2014-01-01_2016-01-01,REFR,-6.6383,13.2203,-0.6765,-0.2605,-24.8871
2015-01-01_2017-01-01,REFR,-18.5434,20.2552,-1.0569,-0.7206,-48.8111
2016-01-01_2018-01-01,REFR,-37.0039,35.8862,-1.19,-1.1958,-75.1095
2017-01-01_2019-01-01,REFR,-6.9495,49.5262,0.0388,0.0419,-69.0608
2018-01-01_2020-01-01,REFR,7.1156,38.9284,0.2918,0.2114,-35.8012
2019-01-01_2021-01-01,REFR,-1.2654,22.2083,-0.0807,-0.0331,-41.8865
2020-01-01_2022-01-01,REFR,-12.7684,29.7607,-0.4079,-0.2087,-44.891
2021-01-01_2023-01-01,REFR,-14.1506,24.6136,-0.6166,-0.342,-45.3157
2022-01-01_2024-01-01,REFR,0.5839,24.1241,0.0194,0.0129,-30.7704
Average,REFR,-0.925,28.1917,-0.078,-0.0116,-39.3933
2004-01-01_2006-01-01,NTWK,1.3141,12.4802,-0.0699,-0.0179,-10.381
2005-01-01_2007-01-01,NTWK,-1.3986,19.5845,-0.126,-0.0804,-20.4373
2006-01-01_2008-01-01,NTWK,14.7009,18.8686,0.6596,0.4097,-18.3783
2007-01-01_2009-01-01,NTWK,-5.7053,32.7867,-0.1029,-0.0534,-47.8401
2008-01-01_2010-01-01,NTWK,-9.1329,78.9733,0.2299,0.2357,-83.6207
2009-01-01_2011-01-01,NTWK,52.7643,52.9185,0.9933,1.2729,-43.6537
2010-01-01_2012-01-01,NTWK,-9.3414,31.5526,-0.2323,-0.0948,-54.1014
2011-01-01_2013-01-01,NTWK,-8.2029,29.5912,-0.2391,-0.1059,-41.7874
2012-01-01_2014-01-01,NTWK,9.7322,21.109,0.4015,0.2471,-24.405
2013-01-01_2015-01-01,NTWK,3.6344,23.3202,0.1408,0.1258,-40.2602
2014-01-01_2016-01-01,NTWK,-5.3984,12.3183,-0.6288,-0.2837,-14.8129
2015-01-01_2017-01-01,NTWK,-2.0038,6.8064,-0.6984,-0.3358,-14.8173
