Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2014-01-01_2016-01-01,SKY,-12.093,48.056,-0.101,-0.1597,-62.4995
2015-01-01_2017-01-01,SKY,62.3493,49.7307,1.1539,1.7798,-40.4157
2016-01-01_2018-01-01,SKY,56.7652,57.8601,1.0148,1.2102,-68.0437
2017-01-01_2019-01-01,SKY,2.4063,61.7901,0.2867,0.3714,-62.8917
2018-01-01_2020-01-01,SKY,38.127,53.4882,0.7973,1.1718,-63.6961
2019-01-01_2021-01-01,SKY,29.4719,50.8773,0.7052,0.7985,-65.8775
2020-01-01_2022-01-01,SKY,36.761,50.1095,0.8173,0.9537,-65.3968
2021-01-01_2023-01-01,SKY,20.7036,44.3847,0.5795,0.715,-47.8469
2022-01-01_2024-01-01,SKY,-1.8819,42.3374,0.0985,0.1124,-44.2512
Average,SKY,6.8337,47.1414,0.2346,0.3195,-54.3335
2004-01-01_2006-01-01,FEIM,-9.1432,29.9805,-0.2659,-0.2903,-39.5478
2005-01-01_2007-01-01,FEIM,-6.5626,30.3742,-0.1648,-0.1694,-34.801
2006-01-01_2008-01-01,FEIM,-3.013,28.6113,-0.0674,-0.0824,-34.8273
2007-01-01_2009-01-01,FEIM,-36.2474,44.6875,-0.8538,-1.0408,-80.9319
2008-01-01_2010-01-01,FEIM,-18.7492,61.853,-0.0823,-0.1111,-77.6735
2009-01-01_2011-01-01,FEIM,32.2801,48.1122,0.7556,0.9764,-33.3332
2010-01-01_2012-01-01,FEIM,15.8674,35.4042,0.5072,0.7017,-40.1541
2011-01-01_2013-01-01,FEIM,6.4985,35.4134,0.2679,0.3842,-40.3601
2012-01-01_2014-01-01,FEIM,13.2824,28.8573,0.4719,0.6555,-22.2093
2013-01-01_2015-01-01,FEIM,10.7448,27.1686,0.4015,0.524,-18.6245
2014-01-01_2016-01-01,FEIM,-3.1461,28.694,-0.0723,-0.0981,-33.2428
2015-01-01_2017-01-01,FEIM,-1.9912,29.9147,-0.018,-0.0261,-41.2134
2016-01-01_2018-01-01,FEIM,-2.8972,28.7709,-0.0626,-0.0857,-32.7509
2017-01-01_2019-01-01,FEIM,-0.2409,30.0899,0.0418,0.0538,-35.0111
2018-01-01_2020-01-01,FEIM,2.4113,35.5059,0.1585,0.2112,-30.2773
2019-01-01_2021-01-01,FEIM,3.1169,40.7524,0.2033,0.2492,-55.0575
2020-01-01_2022-01-01,FEIM,-0.9392,37.7872,0.0831,0.0966,-41.9856
2021-01-01_2023-01-01,FEIM,-12.633,33.9128,-0.3158,-0.3666,-59.7909
2022-01-01_2024-01-01,FEIM,11.2215,35.3746,0.3931,0.4912,-48.3442
Average,FEIM,-0.0074,35.3297,0.0727,0.1091,-42.1124
2004-01-01_2006-01-01,CPSH,37.8556,84.5866,0.7492,0.6858,-50.0
2005-01-01_2007-01-01,CPSH,-0.1133,70.9958,0.2929,0.2708,-57.6466
2006-01-01_2008-01-01,CPSH,35.8214,76.4069,0.7163,0.7728,-48.7499
2007-01-01_2009-01-01,CPSH,-1.5672,76.2805,0.3059,0.2878,-73.7499
2008-01-01_2010-01-01,CPSH,-19.513,125.4537,0.3577,0.3329,-71.9988
2009-01-01_2011-01-01,CPSH,10.2676,125.8014,0.6102,0.6058,-49.8167
2010-01-01_2012-01-01,CPSH,10.0387,82.56,0.4855,0.4689,-57.5628
2011-01-01_2013-01-01,CPSH,-10.4149,108.0366,0.3828,0.3921,-61.4033
2012-01-01_2014-01-01,CPSH,19.5366,121.9212,0.6835,0.7906,-70.9087
